ID,xposition,yposition
m1,-3.35,5.05
m2,3.38,5.05
m3,6.18,0.15
m4,3.4,-5.82
m5,-3.4,-5.82
m6,-6.15,0.15
b1,-3.09,5.63
b2,3.09,5.63
b3,6.18,-0.98
b4,3.77,-5.26
b5,-3.77,-5.26
b6,-6.15,-0.98
