,padnumber,xposition,yposition,type,optional
86,87,-0.78,0.26,0,"SIZE:0.82,ROTATE:0"
87,88,0.01,0.26,0,"SIZE:0.82,ROTATE:0"
88,89,0.8,0.26,0,"SIZE:0.82,ROTATE:0"
89,90,1.59,0.26,0,"SIZE:0.82,ROTATE:0"
90,91,2.38,0.26,0,"SIZE:0.82,ROTATE:0"
91,92,3.17,0.26,0,"SIZE:0.82,ROTATE:0"
92,93,3.96,0.26,0,"SIZE:0.82,ROTATE:0"
93,94,4.75,0.26,0,"SIZE:0.82,ROTATE:0"
94,95,5.54,0.26,42,"SIZE:0.82,ROTATE:300"
95,96,-5.91,-0.43,11,"SIZE:0.82,ROTATE:-120,X_CROP:0.5,ROTATE:-120"
96,97,-5.12,-0.43,0,"SIZE:0.82,ROTATE:0"
97,98,-4.33,-0.43,0,"SIZE:0.82,ROTATE:0"
98,99,-3.54,-0.43,0,"SIZE:0.82,ROTATE:0"
99,100,-2.75,-0.43,0,"SIZE:0.82,ROTATE:0"
100,101,-1.96,-0.43,0,"SIZE:0.82,ROTATE:0"
101,102,-1.17,-0.43,0,"SIZE:0.82,ROTATE:0"
102,103,-0.38,-0.43,0,"SIZE:0.82,ROTATE:0"
103,104,0.41,-0.43,0,"SIZE:0.82,ROTATE:0"
104,105,1.2,-0.43,0,"SIZE:0.82,ROTATE:0"
105,106,1.99,-0.43,0,"SIZE:0.82,ROTATE:0"
106,107,2.78,-0.43,0,"SIZE:0.82,ROTATE:0"
107,108,3.57,-0.43,0,"SIZE:0.82,ROTATE:0"
108,109,4.36,-0.43,0,"SIZE:0.82,ROTATE:0"
109,110,5.15,-0.43,0,"SIZE:0.82,ROTATE:0"
110,111,5.94,-0.43,11,"SIZE:0.82,ROTATE:-120,X_CROP:0.5,ROTATE:60"
111,112,-5.51,-1.12,11,"SIZE:0.82,ROTATE:120"
112,113,-4.72,-1.12,0,"SIZE:0.82,ROTATE:0"
113,114,-3.94,-1.12,0,"SIZE:0.82,ROTATE:0"
114,115,-3.15,-1.12,0,"SIZE:0.82,ROTATE:0"
115,116,-2.35,-1.12,0,"SIZE:0.82,ROTATE:0"
116,117,-1.57,-1.12,0,"SIZE:0.82,ROTATE:0"
117,118,-0.78,-1.12,0,"SIZE:0.82,ROTATE:0"
118,119,0.01,-1.12,0,"SIZE:0.82,ROTATE:0"
119,120,0.8,-1.12,0,"SIZE:0.82,ROTATE:0"
120,121,1.59,-1.12,0,"SIZE:0.82,ROTATE:0"
121,122,2.38,-1.12,0,"SIZE:0.82,ROTATE:0"
122,123,3.17,-1.12,0,"SIZE:0.82,ROTATE:0"
123,124,3.96,-1.12,0,"SIZE:0.82,ROTATE:0"
124,125,4.75,-1.12,0,"SIZE:0.82,ROTATE:0"
125,126,5.54,-1.12,11,"SIZE:0.82,ROTATE:-120"
126,127,-5.12,-1.81,44,"SIZE:0.82,ROTATE:120,TEXT_Y_OFFSET:+0.1,TEXT_X_OFFSET:+0.1"
127,128,-4.33,-1.81,0,"SIZE:0.82,ROTATE:0"
128,129,-3.54,-1.81,0,"SIZE:0.82,ROTATE:0"
129,130,-2.75,-1.81,0,"SIZE:0.82,ROTATE:0"
130,131,-1.96,-1.81,0,"SIZE:0.82,ROTATE:0"
131,132,-1.17,-1.81,0,"SIZE:0.82,ROTATE:0"
132,133,-0.38,-1.81,0,"SIZE:0.82,ROTATE:0"
133,134,0.41,-1.81,0,"SIZE:0.82,ROTATE:0"
134,135,1.2,-1.81,0,"SIZE:0.82,ROTATE:0"
135,136,1.99,-1.81,0,"SIZE:0.82,ROTATE:0"
136,137,2.78,-1.81,0,"SIZE:0.82,ROTATE:0"
137,138,3.57,-1.81,0,"SIZE:0.82,ROTATE:0"
138,139,4.36,-1.81,0,"SIZE:0.82,ROTATE:0"
139,140,5.15,-1.81,44,"SIZE:0.82,ROTATE:-120,TEXT_Y_OFFSET:-0.0,TEXT_X_OFFSET:-0.15"
140,141,-4.72,-2.5,11,"SIZE:0.82,ROTATE:120"
141,142,-3.93,-2.5,4,"SIZE:0.82,ROTATE:0"
142,143,-3.93,-2.5,14,"SIZE:0.35,ROTATE:0"
143,144,-3.15,-2.5,0,"SIZE:0.82,ROTATE:0"
144,145,-2.35,-2.5,0,"SIZE:0.82,ROTATE:0"
145,146,-1.57,-2.5,0,"SIZE:0.82,ROTATE:0"
146,147,-0.78,-2.5,0,"SIZE:0.82,ROTATE:0"
147,148,0.01,-2.5,0,"SIZE:0.82,ROTATE:0"
148,149,0.8,-2.5,0,"SIZE:0.82,ROTATE:0"
149,150,1.59,-2.5,0,"SIZE:0.82,ROTATE:0"
150,151,2.38,-2.5,0,"SIZE:0.82,ROTATE:0"
151,152,3.17,-2.5,0,"SIZE:0.82,ROTATE:0"
152,153,3.96,-2.5,4,"SIZE:0.82,ROTATE:0"
153,154,3.96,-2.5,14,"SIZE:0.35,ROTATE:0"
154,155,4.75,-2.5,11,"SIZE:0.82,ROTATE:-120"
155,156,-4.33,-3.19,11,"SIZE:0.82,ROTATE:120"
156,157,-3.54,-3.19,0,"SIZE:0.82,ROTATE:0"
157,158,-2.75,-3.19,0,"SIZE:0.82,ROTATE:0"
158,159,-1.96,-3.19,0,"SIZE:0.82,ROTATE:0"
159,160,-1.17,-3.19,0,"SIZE:0.82,ROTATE:0"
160,161,-0.38,-3.19,0,"SIZE:0.82,ROTATE:0"
161,162,0.41,-3.19,4,"SIZE:0.82,ROTATE:0"
162,163,0.41,-3.19,14,"SIZE:0.35,ROTATE:0"
163,164,1.2,-3.19,0,"SIZE:0.82,ROTATE:0"
164,165,1.99,-3.19,0,"SIZE:0.82,ROTATE:0"
165,166,2.78,-3.19,0,"SIZE:0.82,ROTATE:0"
166,167,3.57,-3.19,0,"SIZE:0.82,ROTATE:0"
167,168,4.36,-3.19,11,"SIZE:0.82,ROTATE:-120"
168,169,-3.93,-3.88,44,"SIZE:0.82,ROTATE:120,TEXT_Y_OFFSET:+0.1,TEXT_X_OFFSET:+0.1"
169,170,-3.14,-3.88,0,"SIZE:0.82,ROTATE:0"
170,171,-2.35,-3.88,0,"SIZE:0.82,ROTATE:0"
171,172,-1.56,-3.88,0,"SIZE:0.82,ROTATE:0"
172,173,-0.77,-3.88,0,"SIZE:0.82,ROTATE:0"
173,174,0.01,-3.88,0,"SIZE:0.82,ROTATE:0"
174,175,0.8,-3.88,0,"SIZE:0.82,ROTATE:0"
175,176,1.59,-3.88,0,"SIZE:0.82,ROTATE:0"
176,177,2.38,-3.88,0,"SIZE:0.82,ROTATE:0"
177,178,3.17,-3.88,0,"SIZE:0.82,ROTATE:0"
178,179,3.96,-3.88,44,"SIZE:0.82,ROTATE:-120,TEXT_Y_OFFSET:-0.0,TEXT_X_OFFSET:-0.15"
179,180,-3.54,-4.57,11,"SIZE:0.82,ROTATE:120"
180,181,-2.75,-4.57,0,"SIZE:0.82,ROTATE:0"
181,182,-1.96,-4.57,0,"SIZE:0.82,ROTATE:0"
182,183,-1.17,-4.57,0,"SIZE:0.82,ROTATE:0"
183,184,-0.38,-4.57,0,"SIZE:0.82,ROTATE:0"
184,185,0.41,-4.57,0,"SIZE:0.82,ROTATE:0"
185,186,1.2,-4.57,0,"SIZE:0.82,ROTATE:0"
186,187,1.99,-4.57,0,"SIZE:0.82,ROTATE:0"
187,188,2.78,-4.57,0,"SIZE:0.82,ROTATE:0"
188,189,3.57,-4.57,11,"SIZE:0.82,ROTATE:-120"
189,190,-3.14,-5.26,11,"SIZE:0.82,ROTATE:-120,X_CROP:0.5,ROTATE:-60"
190,191,-2.35,-5.26,42,"SIZE:0.82,ROTATE:180"
191,192,-1.56,-5.26,43,"SIZE:0.82,ROTATE:180,TEXT_Y_OFFSET:+0.17"
192,193,-0.77,-5.26,41,"SIZE:0.82,ROTATE:180"
193,194,0.02,-5.26,41,"SIZE:0.82,ROTATE:180"
194,195,0.8,-5.26,41,"SIZE:0.82,ROTATE:180"
195,196,1.59,-5.26,43,"SIZE:0.82,ROTATE:180,TEXT_Y_OFFSET:+0.17"
196,197,2.38,-5.26,42,"SIZE:0.82,ROTATE:-180,INVERT:1"
197,198,3.17,-5.26,11,"SIZE:0.82,ROTATE:-120,X_CROP:0.5"
207,-1,-3.35,5.05,,
208,-2,3.38,5.05,,
209,-3,6.18,0.15,,
210,-4,3.4,-5.82,,
211,-5,-3.4,-5.82,,
212,-6,-6.15,0.15,,
