padnumber,xposition,yposition
462,0.01,-5.40
463,0.54,-5.40
464,1.08,-5.40
465,1.61,-5.40
466,2.15,-5.40
467,2.68,-5.40
468,3.22,-5.40
-1,6.27,0.35
-2,-6.50,0.35
-3,-3,-5.73
-4,2.87,-5.73
-13,4.43,-3.50
-14,1.08,-5.54
-15,-5.35,-2.08
