,padnumber,xposition,yposition,type,optional
90,91,-1.57,0.26,0,"SIZE:0.82,ROTATE:0"
91,92,-0.78,0.26,0,"SIZE:0.82,ROTATE:0"
92,93,0.01,0.26,0,"SIZE:0.82,ROTATE:0"
93,94,0.01,0.26,,
94,95,0.8,0.26,0,"SIZE:0.82,ROTATE:0"
95,96,1.59,0.26,0,"SIZE:0.82,ROTATE:0"
96,97,2.38,0.26,0,"SIZE:0.82,ROTATE:0"
97,98,3.17,0.26,0,"SIZE:0.82,ROTATE:0"
98,99,3.17,0.26,,
99,100,3.96,0.26,0,"SIZE:0.82,ROTATE:0"
100,101,4.75,0.26,0,"SIZE:0.82,ROTATE:0"
101,102,5.54,0.26,,
102,-1,-3.35,5.05,,
103,-2,3.38,5.05,,
104,-3,6.18,0.15,,
105,-6,-6.15,0.15,,
106,-13,-1.17,5.29,,
107,-14,3.77,3.81,,
108,-18,-5.32,0.95,,
